SR	168896339	356	0.00006
NQ	167770304	357	0.00006
KY	167761726	358	0.00006
LN	165509578	359	0.00006
NW	163456000	360	0.00006
TF	159626603	361	0.00006
FS	155349948	362	0.00006
CQ	154363546	363	0.00005
DH	153344431	364	0.00005
SD	148275222	365	0.00005
VY	138085211	366	0.00005
DJ	134832736	367	0.00005
HW	134615178	368	0.00005
XU	134528161	369	0.00005
AO	130442323	370	0.00005
ML	129888836	371	0.00005
UK	129819900	372	0.00005
UY	128782521	373	0.00005
EJ	128194584	374	0.00005
EZ	127540198	375	0.00005
HB	123778334	376	0.00004
NZ	123192934	377	0.00004
NB	122258836	378	0.00004
MC	121591374	379	0.00004
YB	121220723	380	0.00004
TP	121089391	381	0.00004
XH	117618666	382	0.00004
UX	110947766	383	0.00004
TZ	108527540	384	0.00004
BV	108385069	385	0.00004
MF	107664447	386	0.00004
WD	99767462	387	0.00004
OZ	97904996	388	0.00003
YW	95070267	389	0.00003
KH	89811517	390	0.00003
GD	89087728	391	0.00003
BM	88228719	392	0.00003
MR	87580303	393	0.00003
KU	85313841	394	0.00003
UV	82252351	395	0.00003
DT	81648332	396	0.00003
HD	80544316	397	0.00003
AA	79794787	398	0.00003
XX	79068246	399	0.00003
DF	78347492	400	0.00003
DB	78190243	401	0.00003
JI	77899882	402	0.00003
KR	76743394	403	0.00003
XO	76097183	404	0.00003
CM	75144874	405	0.00003
ZZ	75012595	406	0.00003
NX	73899576	407	0.00003
YG	73102462	408	0.00003
XY	72645837	409	0.00003
KG	72267691	410	0.00003
TB	71746167	411	0.00003
DC	71030077	412	0.00003
BD	69761165	413	0.00002
SG	69588685	414	0.00002
WY	68368953	415	0.00002
ZY	66473188	416	0.00002
AQ	63283982	417	0.00002
HF	63249924	418	0.00002
CD	62905910	419	0.00002
VU	62384927	420	0.00002
KW	61416538	421	0.00002
ZU	60692846	422	0.00002
BN	59062122	423	0.00002
IH	58966344	424	0.00002
TG	55522877	425	0.00002
XV	55076715	426	0.00002
UZ	53873803	427	0.00002
BC	53278096	428	0.00002
XF	52374239	429	0.00002
YZ	51097953	430	0.00002
KM	50449220	431	0.00002
DP	48855638	432	0.00002
LH	45643026	433	0.00002
WF	45330551	434	0.00002
KF	44759608	435	0.00002
PF	41022263	436	0.00001
CF	39704311	437	0.00001
MT	38538709	438	0.00001
YU	37436235	439	0.00001
CP	37067423	440	0.00001
PB	36901495	441	0.00001
TD	36539510	442	0.00001
ZL	35456851	443	0.00001
SV	35005005	444	0.00001
HC	34631551	445	0.00001
MG	34537023	446	0.00001
PW	34037460	447	0.00001
GF	33962536	448	0.00001
PD	33798376	449	0.00001
PN	33536129	450	0.00001
PC	33156666	451	0.00001
RX	32990613	452	0.00001
TV	32805751	453	0.00001
IJ	31324465	454	0.00001
WM	30732232	455	0.00001
UH	30097154	456	0.00001
WK	30095733	457	0.00001
WB	29929113	458	0.00001
BH	29797934	459	0.00001
OQ	29227658	460	0.00001
KT	29132180	461	0.00001
RQ	28152573	462	0.00001
KB	25406204	463	0.00001
CG	24975673	464	0.00001
VR	24701238	465	0.00001
CN	24249641	466	0.00001
PK	23099462	467	0.00001
UU	22006895	468	0.00001
YF	21246637	469	0.00001
WP	20982546	470	0.00001
CZ	20601701	471	0.00001
KP	20492678	472	0.00001
DQ	19927900	473	0.00001
WU	19601657	474	0.00001
FM	19340776	475	0.00001
WC	19008254	476	0.00001
MD	18929019	477	0.00001
KD	18894758	478	0.00001
ZH	18782710	479	0.00001
GW	18260884	480	0.00001
RZ	17993128	481	0.00001
CB	17751935	482	0.00001
IW	17611969	483	0.00001
XL	16728256	484	0.00001
HP	16696129	485	0.00001
MW	16465357	486	0.00001
VS	16263248	487	0.00001
FC	16254390	488	0.00001
RJ	15598009	489	0.00001
BP	15427250	490	0.00001
MH	15033898	491	0.00001
HH	14730425	492	0.00001
YH	14682887	493	0.00001
UJ	14548024	494	0.00001
FG	14424524	495	0.00001
FD	13966832	496	0.00000
GB	13944852	497	0.00000
PG	13354952	498	0.00000
TK	13081991	499	0.00000
KK	12782664	500	0.00000
HQ	11925353	501	0.00000
FN	11823066	502	0.00000
LZ	11767790	503	0.00000
VL	11621019	504	0.00000
GP	11612944	505	0.00000
HZ	10729982	506	0.00000
DK	9494027	507	0.00000
YK	9292584	508	0.00000
QI	8954617	509	0.00000
LX	8612462	510	0.00000
VD	8430332	511	0.00000
ZS	8395904	512	0.00000
BW	8319869	513	0.00000
XQ	8225536	514	0.00000
MV	8172535	515	0.00000
UW	7824504	516	0.00000
HG	7789748	517	0.00000
FB	7730842	518	0.00000
SJ	7621847	519	0.00000
WW	7377619	520	0.00000
GK	7338894	521	0.00000
UQ	7235727	522	0.00000
BG	7203255	523	0.00000
SZ	7041052	524	0.00000
JR	6846578	525	0.00000
QL	6708919	526	0.00000
ZT	6627349	527	0.00000
HK	6595610	528	0.00000
VC	6570845	529	0.00000
XM	6569222	530	0.00000
GC	6455066	531	0.00000
FW	6451511	532	0.00000
PZ	6382200	533	0.00000
KC	6326022	534	0.00000
HV	6292998	535	0.00000
XW	6292525	536	0.00000
ZW	6279286	537	0.00000
FP	6262895	538	0.00000
IY	6247588	539	0.00000
PV	6222096	540	0.00000
VT	6181932	541	0.00000
JP	6129447	542	0.00000
CV	5869407	543	0.00000
ZB	5858211	544	0.00000
VP	5510046	545	0.00000
ZR	5320518	546	0.00000
FH	5166165	547	0.00000
YV	5115763	548	0.00000
ZG	4726653	549	0.00000
ZM	4713608	550	0.00000
ZV	4618705	551	0.00000
QS	4448602	552	0.00000
KV	4414960	553	0.00000
VN	4317772	554	0.00000
ZN	4300522	555	0.00000
QA	4298294	556	0.00000
YX	4211192	557	0.00000
JN	4150888	558	0.00000
BF	4108696	559	0.00000
MK	3956883	560	0.00000
CW	3909223	561	0.00000
JM	3659540	562	0.00000
LQ	3582930	563	0.00000
JH	3541869	564	0.00000
KJ	3471162	565	0.00000
JC	3447571	566	0.00000
GZ	3431194	567	0.00000
JS	3329038	568	0.00000
TX	3328898	569	0.00000
FK	3293208	570	0.00000
JL	3192327	571	0.00000
VM	3178223	572	0.00000
LJ	3169833	573	0.00000
TJ	3169658	574	0.00000
JJ	2979950	575	0.00000
CJ	2962048	576	0.00000
VG	2960268	577	0.00000
MJ	2923325	578	0.00000
JT	2917850	579	0.00000
PJ	2810773	580	0.00000
WG	2751783	581	0.00000
VH	2691078	582	0.00000
BK	2639491	583	0.00000
VV	2622571	584	0.00000
JD	2615147	585	0.00000
TQ	2517400	586	0.00000
VB	2496014	587	0.00000
JF	2421784	588	0.00000
DZ	2200704	589	0.00000
XB	2164724	590	0.00000
JB	2126115	591	0.00000
ZC	2100797	592	0.00000
FJ	2065436	593	0.00000
YY	1993017	594	0.00000
QN	1859810	595	0.00000
XS	1804740	596	0.00000
QR	1744325	597	0.00000
JK	1740133	598	0.00000
JV	1719726	599	0.00000
QQ	1712219	600	0.00000
XN	1613611	601	0.00000
VF	1550317	602	0.00000
PX	1473468	603	0.00000
ZD	1415016	604	0.00000
QT	1385505	605	0.00000
ZP	1361846	606	0.00000
QO	1324363	607	0.00000
DX	1296277	608	0.00000
HJ	1282370	609	0.00000
GV	1192366	610	0.00000
JW	1165914	611	0.00000
